Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0101402046938465,-0.0190713877211327,0.117667467469389,0,0,0,1.51004053175102,0.00229241448610905,0.000348685044630327,2.56851837831817E-06,0.00338457045979008,-2.73780790901979E-06,0.00367231955902952,0,0,0,0,0,0,package://meta_wl/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://meta_wl/meshes/base_link.STL,,主平面-1;电机座-1;雷达座-1;雷达座-2;雷达板-1;电池垫板-1;NUC框-1;中心板底-1;竖板-1;导轮座-1;镜向电机座-2;镜向雷达座-3,c0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l_upper,0.0671852310993694,-9.82982039372916E-14,0.0025000000000049,0,0,0,0.032226200550069,3.66380053940648E-06,1.19428469189304E-16,6.62119708292851E-22,8.52804972965807E-05,8.39343311752535E-22,8.88118443695379E-05,0,0,0,0,0,0,package://meta_wl/meshes/l_upper.STL,1,1,1,1,0,0,0,0,0,0,package://meta_wl/meshes/l_upper.STL,,a-1,c1,a1,l_hip,revolute,0,0,0,0,0,-2.3924,base_link,0,0,1,0,0,0,0,,,,,,,,
l_lower,0.0826713981672684,2.95569124730832E-13,-0.00258453281532065,0,0,0,0.104306167055054,2.53171746417589E-05,-6.04730702362735E-16,-2.33685736608165E-19,0.00025923053976782,-1.42684967797404E-21,0.000283258559261188,0,0,0,0,0,0,package://meta_wl/meshes/l_lower.STL,1,1,1,0.25,0,0,0,0,0,0,package://meta_wl/meshes/l_lower.STL,,f-2;盖-1;f-1,c2,a2,l_knee,revolute,0.1566,0,0.00125,0,0,1.9355,l_upper,0,0,1,0,0,0,0,,,,,,,,
l_foot,-3.6111307139524E-06,1.20885811504545E-05,0.0138462160537166,0,0,0,0.394892486943145,0.000484066650873149,-1.72152636629852E-08,-7.82184689139228E-10,0.000484067714601926,-9.41909288736776E-09,0.000850708988315163,0,0,0,0,0,0,package://meta_wl/meshes/l_foot.STL,1,1,1,1,0,0,0,0,0,0,package://meta_wl/meshes/l_foot.STL,,连轴-1;内-1;外-1;TPU-1,c3,a3,l_wheel,revolute,0.1425,0,-0.0508,0,0,0.45687,l_lower,0,0,1,0,0,0,0,,,,,,,,
r_upper,0.0671852310993692,-9.83088796941645E-14,-0.00249999999998135,0,0,0,0.032226200550069,3.66380053940647E-06,1.19444351057065E-16,9.62383901001866E-22,8.52804972965805E-05,-1.82234974120561E-22,8.88118443695377E-05,0,0,0,0,0,0,package://meta_wl/meshes/r_upper.STL,1,1,1,1,0,0,0,0,0,0,package://meta_wl/meshes/r_upper.STL,,a-2,c1r,a1r,r_hip,revolute,0,0,0.242,0,0,-2.3924,base_link,0,0,1,0,0,0,0,,,,,,,,
r_lower,0.0826713981672686,7.77988784506078E-14,0.00258453281534418,0,0,0,0.104306167055055,2.53171746417591E-05,1.12197984193305E-17,2.31857648660975E-19,0.000259230539767821,1.17347330680165E-21,0.000283258559261189,0,0,0,0,0,0,package://meta_wl/meshes/r_lower.STL,1,1,1,0.25,0,0,0,0,0,0,package://meta_wl/meshes/r_lower.STL,,f-3;f-4;盖-2,c2r,a2r,r_knee,revolute,0.1566,0,-0.00125,0,0,1.9355,r_upper,0,0,1,0,0,0,0,,,,,,,,
r_foot,-4.62452943762043E-07,1.05265717411374E-05,-0.0138462160537167,0,0,0,0.394892486943146,0.000484056117024219,-2.52194216741169E-08,7.02643501003512E-09,0.000484078248450858,6.3214187320017E-09,0.000850708988315164,0,0,0,0,0,0,package://meta_wl/meshes/r_foot.STL,1,1,1,1,0,0,0,0,0,0,package://meta_wl/meshes/r_foot.STL,,TPU-2;外-2;内-2;连轴-2,c3r,a3r,r_wheel,revolute,0.1425,0,0.0508,0,0,0.45687,r_lower,0,0,1,0,0,0,0,,,,,,,,
